Posição,Cliente,Cidade,Plano Vendido,7,Plan Smarter,Rio de Janeiro,Enterprise,Status
,,,,207.0,Affinity Investment,Belo Horizonte,Basic,Padrao
,,,,208.0,Titania,São Paulo,Basic,Padrao
,,,,209.0,Afforda,Belo Horizonte,Basic,Padrao
,,,,210.0,Mission Realty,Salvador,Basic,Padrao
,,,,211.0,Life Plan,São Paulo,Basic,Padrao
,,,,212.0,Alert Alarm,Salvador,Basic,Padrao
,,,,213.0,Total Serve,Porto Alegre,Basic,Padrao
,,,,214.0,Alladin Realty,Belo Horizonte,Basic,Padrao
,,,,215.0,Modern Realty,Porto Alegre,Basic,Padrao
,,,,216.0,Locost Accessories,Rio de Janeiro,Basic,Padrao
,,,,217.0,Architectural Genie,São Paulo,Basic,Padrao
,,,,218.0,Total Yard,Rio de Janeiro,Basic,Padrao
,,,,219.0,Asian Answers,Salvador,Basic,Padrao
,,,,220.0,Monk House,São Paulo,Basic,Padrao
,,,,221.0,Netaid,Curitiba,Basic,Padrao
,,,,222.0,Asian Junction,Belo Horizonte,Basic,Padrao
,,,,223.0,Belle Ladi,Porto Alegre,Basic,Padrao
,,,,224.0,Asian Plan,São Paulo,Basic,Padrao
,,,,225.0,Monk Furn,Florianópolis,Basic,Padrao
,,,,226.0,Netcore,São Paulo,Basic,Padrao
,,,,227.0,Asiatic Solutions,Belo Horizonte,Basic,Padrao
,,,,228.0,Best Biz,São Paulo,Basic,Padrao
,,,,229.0,Atlas Architectural,Belo Horizonte,Basic,Padrao
,,,,230.0,Monmax,Salvador,Basic,Padrao
,,,,231.0,New World Gen,São Paulo,Basic,Padrao
,,,,232.0,Avant Garde,Salvador,Basic,Padrao
,,,,233.0,Buena To.,Porto Alegre,Basic,Padrao
,,,,234.0,Avant Garden,Belo Horizonte,Basic,Padrao
,,,,235.0,Multi Tech,Porto Alegre,Basic,Padrao
,,,,236.0,Northern Star,Rio de Janeiro,Basic,Padrao
,,,,237.0,Awthentikz,São Paulo,Basic,Padrao
,,,,238.0,Bold Ideas,Rio de Janeiro,Basic,Padrao
,,,,239.0,Macroserve,Salvador,Basic,Padrao
,,,,240.0,E-zhe Source,São Paulo,Basic,Padrao
,,,,241.0,Simple Solutions,Curitiba,Basic,Padrao
,,,,242.0,Magna Consulting,Belo Horizonte,Basic,Padrao
,,,,243.0,Brilliant Home,Porto Alegre,Basic,Padrao
,,,,244.0,Dreamscape Garden,Curitiba,Basic,Padrao
,,,,245.0,Idea Infinity,São Paulo,Basic,Padrao
